Árbol,VOL,DBH,D16,HT
1,25.93,10.20,9.30,89.00
2,45.87,13.72,12.10,90.07
3,56.20,15.43,13.30,95.08
4,58.60,14.37,13.40,98.03
5,63.36,15.00,14.20,99.00
6,46.35,15.02,12.80,91.05
7,68.99,15.12,14.00,105.60
8,62.91,15.24,13.50,100.80
9,58.13,15.24,14.00,94.00
10,59.79,15.28,13.80,93.09
11,56.20,13.78,13.60,89.00
12,66.16,15.67,14.00,102.00
13,62.18,15.67,13.70,99.00
14,57.01,15.98,13.90,89.02
15,65.62,16.50,14.90,95.09
16,65.03,16.87,14.90,95.02
17,66.74,17.26,14.30,91.02
18,73.38,17.28,14.30,98.06
19,82.87,17.87,16.90,96.01
20,95.71,19.13,17.30,101.00
21,21.62,11.34,8.58,73.95
22,40.86,14.22,11.98,86.39
23,53.87,13.71,14.23,93.31
24,54.73,15.06,12.52,92.69
25,60.96,16.75,13.09,95.42
26,50.71,14.29,13.04,87.66
27,64.53,17.56,13.77,99.64
28,64.80,15.68,13.04,95.16
29,62.98,14.99,14.46,94.42
30,55.10,16.23,12.66,95.37
31,51.83,15.71,14.23,93.31
32,69.15,17.15,15.43,98.02
33,62.30,16.58,12.95,96.74
34,57.12,15.83,13.33,92.78
35,70.88,15.08,14.36,97.71
36,65.25,14.99,14.29,97.37
37,65.93,16.24,15.50,99.35
38,67.68,16.20,14.30,103.16
39,78.89,19.57,17.45,106.60
40,86.62,20.43,19.00,115.97
41,24.71,9.34,10.58,73.95
42,43.95,14.22,11.98,87.39
43,60.06,14.71,14.23,93.31
44,57.83,14.06,12.52,93.69
45,67.14,16.75,15.09,96.42
46,47.61,13.29,11.04,87.66
47,64.53,17.56,15.77,99.64
48,58.61,15.68,15.04,97.16
49,59.89,15.99,14.46,94.42
50,58.20,15.23,14.66,93.37
51,48.73,15.71,14.23,93.31
52,69.15,16.15,13.43,97.02
53,65.40,16.58,12.95,94.74
54,54.02,15.83,12.33,93.78
55,70.88,16.08,13.36,97.71
56,65.25,16.99,13.29,98.37
57,62.84,15.24,15.50,99.35
58,64.59,17.20,16.30,102.16
59,85.08,18.57,15.45,108.60
60,89.71,19.43,19.00,113.97
61,18.53,10.34,9.58,74.95
62,43.95,12.22,10.98,86.39
63,60.06,13.71,14.23,93.31
64,54.73,14.06,12.52,92.69
65,67.14,15.75,14.09,95.42
66,47.61,13.29,13.04,85.66
67,70.72,16.56,13.77,100.64
68,64.80,16.68,14.04,97.16
69,56.79,14.99,14.46,93.42
70,61.29,14.23,13.66,95.37
71,54.92,13.71,12.23,93.31
72,62.96,15.15,14.43,99.02
73,65.40,14.58,14.95,94.74
74,54.02,14.83,14.33,92.78
75,70.88,16.08,15.36,96.71
76,71.43,16.99,14.29,96.37
77,65.93,15.24,14.50,97.35
78,67.68,16.20,14.30,101.16
79,81.99,17.57,16.45,108.60
80,86.62,20.43,17.00,114.97
81,24.71,11.34,10.58,75.95
82,40.86,14.22,10.98,87.39
83,56.97,13.71,13.23,93.31
84,60.92,15.06,13.52,93.69
85,60.96,14.75,14.09,96.42
86,53.80,14.29,13.04,87.66
87,64.53,16.56,13.77,98.64
88,61.70,16.68,14.04,96.16
89,59.89,13.99,13.46,93.42
90,61.29,14.23,12.66,95.37
91,51.83,13.71,14.23,93.31
92,62.96,16.15,15.43,97.02
93,59.21,14.58,14.95,96.74
94,60.21,15.83,13.33,92.78
95,64.69,17.08,13.36,96.71
96,65.25,14.99,13.29,96.37
97,62.84,16.24,14.50,99.35
98,70.78,17.20,14.30,103.16
99,81.99,17.57,16.45,108.60
100,92.81,20.43,18.00,113.97